trade_id,scenario_id,flow_class,reference_status,policy,notional_quote_micro,upfront_fee_quote_micro,retained_fee_quote_micro,rebate_quote_micro,lp_protection_quote_micro,adverse_selection_proxy_quote_micro,lp_net_after_proxy_quote_micro,settlement_status,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget
0x95a7306b05dd830943083a2fc9efd75fd746a7caa63a72bf9932e798066925fa,benign_random_flow,benign,valid,fixed,596000000,1788000,1788000,0,0,0,1788000,not_required,0,0,0,0
0x95a7306b05dd830943083a2fc9efd75fd746a7caa63a72bf9932e798066925fa,benign_random_flow,benign,valid,volatility,596000000,2188512,2188512,0,0,0,2188512,not_required,0,0,0,0
0x95a7306b05dd830943083a2fc9efd75fd746a7caa63a72bf9932e798066925fa,benign_random_flow,benign,valid,markout,596000000,4768000,2066928,2701072,278928,0,2066928,settled,0,0,2,800000
0x7b0835601789e033001121ea34aa039d0c03cbcc92be073366f3e668b4ef6420,benign_random_flow,benign,valid,fixed,3994000000,11982000,11982000,0,0,2572136,9409864,not_required,0,0,0,0
0x7b0835601789e033001121ea34aa039d0c03cbcc92be073366f3e668b4ef6420,benign_random_flow,benign,valid,volatility,3994000000,15348942,15348942,0,0,2572136,12776806,not_required,0,0,0,0
0x7b0835601789e033001121ea34aa039d0c03cbcc92be073366f3e668b4ef6420,benign_random_flow,benign,valid,markout,3994000000,31952000,20089820,11862180,8107820,2572136,17517684,settled,0,0,2,800000
0xa98982549b5ae7540478a8ed400e30c8cb86c00026e0379201659d1404460239,benign_random_flow,benign,valid,fixed,4490000000,13470000,13470000,0,0,0,13470000,not_required,0,0,0,0
0xa98982549b5ae7540478a8ed400e30c8cb86c00026e0379201659d1404460239,benign_random_flow,benign,valid,volatility,4490000000,15997870,15997870,0,0,0,15997870,not_required,0,0,0,0
0xa98982549b5ae7540478a8ed400e30c8cb86c00026e0379201659d1404460239,benign_random_flow,benign,valid,markout,4490000000,35920000,16568100,19351900,3098100,0,16568100,settled,0,0,2,800000
0xa28eeafa17782aa365b33233aa6a60a21366f1019da48b81cccd9a3059b697e3,benign_random_flow,benign,valid,fixed,1034000000,3102000,3102000,0,0,257466,2844534,not_required,0,0,0,0
0xa28eeafa17782aa365b33233aa6a60a21366f1019da48b81cccd9a3059b697e3,benign_random_flow,benign,valid,volatility,1034000000,3759624,3759624,0,0,257466,3502158,not_required,0,0,0,0
0xa28eeafa17782aa365b33233aa6a60a21366f1019da48b81cccd9a3059b697e3,benign_random_flow,benign,valid,markout,1034000000,8272000,4547532,3724468,1445532,257466,4290066,settled,0,0,2,800000
0x56f5d70fb915b3ea405b1215ea4f7fa6c5fd25a89e6d71f8a9f6f58c4ea7bdc1,benign_random_flow,benign,valid,fixed,3674000000,11022000,11022000,0,0,1241812,9780188,not_required,0,0,0,0
0x56f5d70fb915b3ea405b1215ea4f7fa6c5fd25a89e6d71f8a9f6f58c4ea7bdc1,benign_random_flow,benign,valid,volatility,3674000000,14989920,14989920,0,0,1241812,13748108,not_required,0,0,0,0
0x56f5d70fb915b3ea405b1215ea4f7fa6c5fd25a89e6d71f8a9f6f58c4ea7bdc1,benign_random_flow,benign,valid,markout,3674000000,29392000,16681797,12710203,5659797,1241812,15439985,settled,0,0,2,800000
0xa62dbd961df58fd8023669904df4ea09acab37dd9d9e13af14c4109690175536,benign_random_flow,benign,valid,fixed,4870000000,14610000,14610000,0,0,2381430,12228570,not_required,0,0,0,0
0xa62dbd961df58fd8023669904df4ea09acab37dd9d9e13af14c4109690175536,benign_random_flow,benign,valid,volatility,4870000000,17049870,17049870,0,0,2381430,14668440,not_required,0,0,0,0
0xa62dbd961df58fd8023669904df4ea09acab37dd9d9e13af14c4109690175536,benign_random_flow,benign,valid,markout,4870000000,38960000,23288340,15671660,8678340,2381430,20906910,settled,0,0,2,800000
0xd6ee6aa35827464f28f63ce05d5bb72c26dbc75d3df4d9d129ed8d19f0b8a749,benign_random_flow,benign,valid,fixed,4996000000,14988000,14988000,0,0,0,14988000,not_required,0,0,0,0
0xd6ee6aa35827464f28f63ce05d5bb72c26dbc75d3df4d9d129ed8d19f0b8a749,benign_random_flow,benign,valid,volatility,4996000000,18450228,18450228,0,0,0,18450228,not_required,0,0,0,0
0xd6ee6aa35827464f28f63ce05d5bb72c26dbc75d3df4d9d129ed8d19f0b8a749,benign_random_flow,benign,valid,markout,4996000000,39968000,17615896,22352104,2627896,0,17615896,settled,0,0,2,800000
0x636b25174f1906132a0b24e6209c1e4e24ca304f0959ed95231ec6c2630d65b1,benign_random_flow,benign,valid,fixed,2445000000,7335000,7335000,0,0,0,7335000,not_required,0,0,0,0
0x636b25174f1906132a0b24e6209c1e4e24ca304f0959ed95231ec6c2630d65b1,benign_random_flow,benign,valid,volatility,2445000000,8956035,8956035,0,0,0,8956035,not_required,0,0,0,0
